t,c
0.000000000,0.000000000
2.000000000,3.445238052
4.000000000,3.219130362
6.000000000,2.976877825
8.000000000,8.350329738
10.000000000,0.000000000
12.000000000,11.306673867
14.000000000,0.000000000
16.000000000,0.000000000
18.000000000,0.000000000
20.000000000,6.145660117
22.000000000,0.000000000
24.000000000,0.649136335
26.000000000,0.000000000
28.000000000,0.000000000
30.000000000,0.000000000
32.000000000,0.000000000
34.000000000,11.221703551
36.000000000,5.577982012
38.000000000,6.897851664
40.000000000,0.000000000
42.000000000,3.924789591
44.000000000,0.000000000
46.000000000,8.896817543
48.000000000,0.000000000
50.000000000,0.000000000
52.000000000,3.565315540
54.000000000,4.627461364
56.000000000,3.359788813
58.000000000,3.738247910
60.000000000,4.637596634
62.000000000,3.175873203
64.000000000,0.000000000
66.000000000,2.893716858
68.000000000,0.000000000
70.000000000,2.888517398
72.000000000,0.000000000
74.000000000,3.255667635
76.000000000,3.433061358
78.000000000,1.993563548
80.000000000,9.565767340
82.000000000,1.528293382
84.000000000,6.508229456
86.000000000,3.831355857
88.000000000,4.194366228
90.000000000,5.903792444
92.000000000,11.230373424
94.000000000,2.610104252
96.000000000,7.139040193
98.000000000,16.533576954
100.000000000,7.239600085
102.000000000,20.512036891
104.000000000,12.771630874
106.000000000,7.373024810
108.000000000,16.892866133
110.000000000,1.789826024
112.000000000,14.489512890
114.000000000,18.034521406
116.000000000,15.621596257
118.000000000,12.998973191
120.000000000,6.053635997
122.000000000,13.315122598
124.000000000,18.610173004
126.000000000,12.180122277
128.000000000,5.236766711
130.000000000,15.534161784
132.000000000,20.343554789
134.000000000,18.403534027
136.000000000,19.867982185
138.000000000,20.135791646
140.000000000,28.989662319
142.000000000,19.403547173
144.000000000,28.851944357
146.000000000,39.105853072
148.000000000,17.245127204
150.000000000,29.908584381
152.000000000,28.134694227
154.000000000,38.096209822
156.000000000,12.777633916
158.000000000,32.398196295
160.000000000,28.695583654
162.000000000,46.351595083
164.000000000,30.694068176
166.000000000,24.586150233
168.000000000,48.097394408
170.000000000,37.409965065
172.000000000,38.769640073
174.000000000,40.505110866
176.000000000,50.036527023
178.000000000,42.266979926
180.000000000,35.918355319
182.000000000,47.413604719
184.000000000,54.104744443
186.000000000,56.547164698
188.000000000,41.601136568
190.000000000,55.328336099
192.000000000,52.522126535
194.000000000,62.021698991
196.000000000,53.371905026
198.000000000,55.901006297
200.000000000,64.918851530
202.000000000,55.601204362
204.000000000,57.804693733
206.000000000,51.049020239
208.000000000,58.295100753
210.000000000,62.940430278
212.000000000,60.727235386
214.000000000,56.561689598
216.000000000,65.040884877
218.000000000,78.396438294
220.000000000,61.687320369
222.000000000,74.866726897
224.000000000,73.592602697
226.000000000,74.095442923
228.000000000,74.811021936
230.000000000,67.637342249
232.000000000,76.907592149
234.000000000,67.208667977
236.000000000,80.965965682
238.000000000,76.689248130
240.000000000,76.955560063
242.000000000,82.458373686
244.000000000,80.229691835
246.000000000,88.932372213
248.000000000,83.611585745
250.000000000,94.635528760
252.000000000,79.633263047
254.000000000,89.147092618
256.000000000,82.705607840
258.000000000,90.885082692
260.000000000,84.094395480
262.000000000,79.653314988
264.000000000,89.801896461
266.000000000,94.422412534
268.000000000,88.243049672
270.000000000,96.268235913
272.000000000,86.329073857
274.000000000,98.409976710
276.000000000,83.061985372
278.000000000,85.893035230
280.000000000,98.331334432
282.000000000,97.359155229
284.000000000,93.223007866
286.000000000,101.579601608
288.000000000,113.408550969
290.000000000,102.266489580
292.000000000,106.923703580
294.000000000,104.276795463
296.000000000,100.859567737
298.000000000,109.284994428
300.000000000,97.184665540
302.000000000,113.513055453
304.000000000,98.692758158
306.000000000,93.885362821
308.000000000,106.249009921
310.000000000,104.268522698
312.000000000,103.061822181
314.000000000,114.835963791
316.000000000,110.515594159
318.000000000,116.918070168
320.000000000,116.505695701
322.000000000,107.204662213
324.000000000,116.863618657
326.000000000,112.242595244
328.000000000,109.668535131
330.000000000,120.385266729
332.000000000,113.524554811
334.000000000,105.586147413
336.000000000,114.865315746
338.000000000,116.658217856
340.000000000,113.611781498
342.000000000,127.293589315
344.000000000,130.026779069
346.000000000,123.130808309
348.000000000,117.199148800
350.000000000,122.637879511
352.000000000,116.883618256
354.000000000,124.239700662
356.000000000,123.484051892
358.000000000,122.996843637
360.000000000,128.258177284
362.000000000,131.721829027
364.000000000,128.588321994
366.000000000,135.730529823
368.000000000,135.693668434
370.000000000,118.043303620
372.000000000,116.729339063
374.000000000,131.204537784
376.000000000,139.104462871
378.000000000,126.530951515
380.000000000,121.760875714
382.000000000,133.576716371
384.000000000,128.779518997
386.000000000,126.902904503
388.000000000,122.185753806
390.000000000,141.400610652
392.000000000,130.832674311
394.000000000,135.533268117
396.000000000,128.059079500
398.000000000,128.737446915
400.000000000,141.788023542
